Donor Name,Food Type,Quantity (kg),Location,Donation Date,Transport Mode,Donor Type,Donation Frequency (per month),Average Donation Duration (hours)
"Reese, Bell and Cook",Fruits,34.47,Tiffanyside,2024-09-12,Van,Restaurant,1,1.4
Clark Inc,Vegetables,76.21,West Duanechester,2024-02-14,Bike,Farm,6,1.4
"Levine, Guerrero and White",Bakery,8.78,Michaelville,2024-06-14,Truck,Farm,7,1.8
Hamilton LLC,Grains,81.38,South Joshuaport,2023-11-16,Van,Supermarket,8,2.7
Farrell-Crawford,Vegetables,86.88,South Gregory,2023-11-26,Walk,Grocery Store,6,1.6
Price PLC,Vegetables,28.8,Saraville,2024-01-31,Truck,Grocery Store,3,2.3
Wallace-Davis,Bakery,34.01,East Noahport,2024-03-03,Van,Farm,7,2.7
Flynn PLC,Meat,67.28,Lake Monique,2024-06-29,Walk,Farm,1,2.2
Welch PLC,Dairy,26.41,Port Emilyhaven,2024-03-07,Truck,Farm,1,1.3
Jones-Smith,Fruits,53.9,East Kevinton,2024-04-08,Truck,Farm,8,1.3
Garcia-Swanson,Dairy,73.07,Grimestown,2024-07-30,Drone,Supermarket,6,2.8
"White, Turner and Cox",Fruits,41.96,Sarachester,2024-02-04,Bike,Food Bank,3,1.2
"Weber, Logan and Powell",Meat,71.18,Staceyville,2024-02-05,Truck,Farm,8,2.3
"Long, Wilson and Hinton",Meat,99.76,Cobbchester,2024-09-16,Walk,Restaurant,8,0.8
Medina-White,Dairy,27.29,Nguyenville,2024-06-08,Drone,Grocery Store,3,0.5
"Wilson, Jones and Thompson",Frozen Food,47.56,Petersonton,2024-08-13,Bike,Farm,3,1.7
Young-Thompson,Vegetables,20.43,East Johnside,2024-05-15,Van,Restaurant,5,0.7
Smith and Sons,Dairy,12.04,Lake Kathleenport,2024-03-02,Drone,Grocery Store,1,0.6
"Ferguson, Savage and Garcia",Snacks,22.36,Floresside,2024-03-15,Walk,Grocery Store,8,0.7
"Finley, Dixon and Brown",Fruits,15.89,Lake Kaylaport,2024-10-16,Truck,Supermarket,1,2.9
"Ruiz, Diaz and Reynolds",Frozen Food,36.74,Richardberg,2024-09-30,Bike,Farm,5,1.9
Murray-Williams,Grains,29.85,Port Noahbury,2024-10-20,Truck,Supermarket,9,2.2
"Roberson, Blair and Norton",Meat,11.66,Stoutburgh,2024-04-15,Van,Restaurant,7,0.7
Bennett PLC,Fruits,38.86,Lake Nicolefurt,2024-04-06,Truck,Supermarket,2,2.2
Carpenter and Sons,Bakery,41.9,East Julieshire,2024-01-24,Truck,Food Bank,1,2.1
"Johnson, Miller and Williams",Snacks,60.44,North Patrick,2024-03-24,Drone,Farm,5,2.1
"French, Rodriguez and Griffin",Bakery,34.76,Port Lindsay,2024-01-27,Van,Grocery Store,7,1.6
Hogan-Barry,Bakery,74.83,East Brian,2024-05-07,Truck,Farm,8,2.3
Miller Inc,Snacks,91.72,Davidport,2024-10-13,Drone,Grocery Store,2,2.5
"Garcia, Johnson and Parrish",Grains,43.76,Martinberg,2024-07-25,Walk,Restaurant,2,1.0
Thompson and Sons,Dairy,92.75,Ronaldhaven,2024-08-01,Bike,Food Bank,9,2.7
Burke-Pena,Bakery,92.54,Jonland,2024-09-20,Drone,Supermarket,2,1.4
Garcia Ltd,Dairy,32.52,Nancytown,2024-10-30,Walk,Grocery Store,4,1.9
Sharp PLC,Grains,32.39,East Jonathanchester,2024-07-06,Walk,Farm,2,2.4
Lopez-Johnson,Dairy,18.81,East Ashleyland,2023-11-28,Van,Farm,5,2.6
Gray Inc,Canned Goods,63.44,West Barry,2024-01-01,Van,Grocery Store,3,0.8
"Cooper, Robinson and Wilson",Fruits,8.34,West Bretthaven,2024-07-23,Walk,Restaurant,8,2.6
Silva-Smith,Snacks,14.13,Michaelville,2023-12-15,Drone,Food Bank,2,2.9
"Campbell, Hernandez and Huffman",Frozen Food,59.08,Amyshire,2024-10-29,Van,Farm,6,0.7
"Lawrence, Villanueva and Stephenson",Vegetables,70.18,Lisamouth,2024-02-21,Truck,Restaurant,7,2.1
Williamson LLC,Dairy,30.41,West Joshuaton,2024-07-18,Drone,Grocery Store,7,2.4
Joyce-Jimenez,Canned Goods,9.73,North Jasonville,2024-07-04,Bike,Supermarket,4,1.0
Williamson Group,Bakery,45.21,Derrickshire,2024-06-19,Truck,Supermarket,5,0.9
Wright LLC,Snacks,9.47,Martinmouth,2024-04-07,Van,Supermarket,3,1.3
Jackson-Wallace,Bakery,89.14,South Danielfort,2023-11-17,Bike,Restaurant,6,1.1
Cortez and Sons,Meat,29.17,North Keith,2024-07-21,Walk,Restaurant,6,2.6
"Russell, Jones and Brown",Bakery,28.88,Castilloville,2024-10-25,Truck,Farm,2,0.8
"Sullivan, Bridges and Ramirez",Snacks,35.98,Tyronemouth,2024-04-15,Drone,Supermarket,7,2.4
Horn Group,Bakery,45.7,Mcguireville,2024-08-09,Drone,Restaurant,2,1.1
Lee and Sons,Snacks,34.62,Lake Holly,2024-07-05,Bike,Grocery Store,5,1.6
Middleton Group,Snacks,80.5,Powellfort,2024-06-08,Bike,Farm,3,1.8
Graham-Gibson,Bakery,9.59,North John,2024-03-10,Bike,Grocery Store,2,0.8
Stevens-Navarro,Dairy,45.86,North Carl,2024-04-15,Drone,Food Bank,7,0.6
"Garcia, Lawson and Diaz",Snacks,55.76,Rachelstad,2023-12-12,Van,Restaurant,8,1.1
Thomas-Banks,Vegetables,89.09,New Richard,2023-12-28,Truck,Food Bank,9,0.9
Prince-Weber,Fruits,36.28,West Pamela,2024-01-12,Bike,Restaurant,6,1.0
"Rodriguez, Hernandez and Thomas",Fruits,19.92,Thorntonfort,2024-08-12,Truck,Farm,9,0.6
Wilson LLC,Dairy,16.69,Garciatown,2024-08-31,Van,Grocery Store,6,1.0
Russo Group,Bakery,91.6,New Cynthia,2024-06-09,Drone,Farm,6,2.9
"Perez, Cole and Duncan",Frozen Food,33.01,Port Jamesstad,2024-01-30,Truck,Farm,2,0.9
Frey Inc,Fruits,30.96,Martinezville,2023-11-30,Truck,Food Bank,7,2.7
"Rosales, Willis and Barr",Dairy,17.66,Stewartville,2024-05-08,Truck,Supermarket,2,2.5
"Lopez, Myers and Adams",Vegetables,9.7,Roberthaven,2024-11-09,Walk,Farm,3,0.9
"Parker, Cole and Cook",Dairy,57.13,Ethanberg,2024-10-19,Drone,Farm,9,2.0
Jones and Sons,Fruits,77.61,North Davidshire,2024-10-05,Bike,Grocery Store,4,1.1
"Davis, Howard and Adams",Dairy,44.93,Lake Tammy,2024-09-04,Walk,Supermarket,3,2.0
Perez-Shaw,Snacks,40.34,South Kellyborough,2024-11-07,Truck,Food Bank,5,1.2
"Hurst, Lozano and Villanueva",Grains,55.74,Kevinton,2024-06-19,Drone,Restaurant,1,0.9
Perez Ltd,Dairy,71.07,Marktown,2024-08-22,Drone,Supermarket,9,1.7
"Webb, Chen and Holt",Snacks,34.78,North Jasonfurt,2024-11-11,Drone,Restaurant,3,1.3
Reilly PLC,Dairy,19.68,West Sarahbury,2024-08-06,Walk,Food Bank,9,2.4
Paul-Brooks,Fruits,25.42,North Jonathanland,2024-07-07,Van,Farm,7,1.9
"Graham, Barber and Howard",Bakery,78.25,South Shannonville,2023-12-10,Walk,Grocery Store,8,1.2
Davis PLC,Grains,93.48,Antonioville,2024-09-28,Bike,Farm,5,1.1
Long-Hall,Dairy,26.21,Lake William,2023-11-15,Bike,Food Bank,5,1.6
"Tate, Gonzalez and Russell",Vegetables,17.54,West Tony,2024-08-09,Van,Food Bank,1,0.8
Carlson PLC,Fruits,87.86,Andreaside,2024-05-14,Truck,Grocery Store,1,2.2
Stein LLC,Fruits,63.77,East Marisa,2024-10-25,Van,Supermarket,8,2.1
Garcia-Fischer,Canned Goods,98.5,West Martinfurt,2024-07-11,Bike,Restaurant,7,2.6
Fowler-Davis,Canned Goods,54.09,East Matthew,2023-11-27,Drone,Restaurant,3,2.5
Dixon and Sons,Snacks,71.7,Port Patrick,2024-07-19,Drone,Grocery Store,4,2.5
"Henry, Dawson and Morrison",Grains,88.53,South Maria,2024-01-01,Truck,Food Bank,8,2.3
Parker-Lewis,Frozen Food,6.8,Turnerport,2024-01-25,Truck,Grocery Store,1,1.2
Le-Stanley,Grains,6.4,South Priscilla,2023-12-07,Van,Food Bank,2,1.5
Harris Group,Snacks,59.75,Port Danielville,2024-03-31,Walk,Food Bank,8,0.6
Lee-Francis,Vegetables,80.86,Brianfort,2024-01-29,Truck,Farm,9,2.6
Carroll and Sons,Bakery,81.05,Port Dylanmouth,2024-08-21,Walk,Food Bank,1,1.4
Jimenez-Abbott,Bakery,58.28,East Douglas,2024-04-30,Truck,Farm,1,3.0
Dominguez PLC,Bakery,56.12,Justinberg,2024-01-15,Walk,Supermarket,2,1.9
Downs-Sexton,Dairy,43.97,Maciasfort,2024-02-22,Bike,Grocery Store,5,2.6
"Cruz, Hart and Wall",Dairy,40.38,Nealside,2024-02-18,Walk,Grocery Store,9,1.3
Phillips LLC,Canned Goods,78.03,Kimburgh,2024-01-02,Van,Food Bank,8,2.2
Coffey and Sons,Bakery,96.08,Lake Ryanshire,2023-12-17,Drone,Farm,6,1.6
"Parker, Moore and Thompson",Snacks,68.2,West Shelbyfurt,2024-07-24,Drone,Food Bank,5,1.1
"Fletcher, Davis and Spencer",Meat,7.07,Cherryton,2024-05-27,Truck,Farm,1,0.5
"Kim, Adams and Mann",Fruits,58.04,Farleyland,2024-02-12,Drone,Restaurant,9,2.8
Wright-Porter,Dairy,60.02,Nancyport,2024-06-05,Drone,Grocery Store,7,1.4
Lawrence Ltd,Dairy,20.35,North Jeremy,2024-11-01,Walk,Restaurant,2,2.1
Davis Group,Meat,30.9,Williamston,2024-02-03,Walk,Restaurant,5,0.6
Burton Ltd,Snacks,88.53,Martinezland,2024-01-19,Bike,Food Bank,9,2.8
"Smith, Obrien and Rodriguez",Meat,22.29,Danielberg,2024-09-01,Walk,Food Bank,4,2.9
"Stewart, Fox and Lewis",Fruits,51.25,Fisherstad,2024-04-02,Walk,Supermarket,1,1.2
Roberts Group,Frozen Food,18.4,South Justin,2024-08-06,Walk,Supermarket,1,0.6
Lewis Ltd,Frozen Food,84.98,Peterville,2024-11-02,Drone,Farm,8,0.6
Mitchell Group,Bakery,24.58,Donaldburgh,2024-05-05,Truck,Supermarket,2,2.2
"Solomon, Johnson and Phillips",Bakery,37.14,Torresbury,2024-05-24,Van,Restaurant,8,1.8
"Stone, Romero and Frye",Snacks,14.39,Figueroamouth,2024-09-11,Truck,Supermarket,3,2.3
"Stout, Robinson and Randall",Canned Goods,23.78,Sarahshire,2024-04-20,Walk,Food Bank,5,0.8
Meyer Ltd,Vegetables,92.31,Williamville,2024-04-07,Bike,Supermarket,8,1.7
Wallace Inc,Snacks,97.1,New Margaret,2024-08-25,Truck,Food Bank,5,2.9
Oliver LLC,Vegetables,14.96,East Ashleyland,2024-03-25,Van,Food Bank,2,2.1
Harris-Richardson,Frozen Food,79.21,Lake Robertmouth,2024-09-24,Drone,Farm,4,2.2
"Rios, Green and Brown",Canned Goods,71.28,Lake Melissa,2024-06-09,Van,Grocery Store,6,2.1
"Nguyen, Shaw and Gill",Snacks,16.81,New Karina,2024-01-26,Walk,Food Bank,2,1.8
"Crane, Oliver and Fleming",Bakery,10.07,Port Jane,2024-07-18,Truck,Food Bank,3,1.5
Smith PLC,Grains,51.92,Sharistad,2024-05-26,Van,Farm,4,2.2
Perry-Watts,Bakery,89.1,North Jeffery,2024-09-28,Van,Food Bank,4,1.1
Chavez and Sons,Vegetables,51.22,Robinfort,2024-03-23,Bike,Supermarket,6,1.7
Webb Ltd,Fruits,64.5,Jacksonport,2024-09-16,Van,Farm,7,1.0
Turner-Graham,Fruits,42.98,South Aliciaborough,2024-10-07,Walk,Restaurant,2,2.6
"Smith, Donovan and Anderson",Dairy,32.66,Adamland,2024-02-18,Van,Grocery Store,2,2.4
"Williams, Gomez and Jones",Meat,85.99,Edwardstad,2023-12-30,Walk,Grocery Store,2,1.7
Washington and Sons,Frozen Food,35.53,West Jordan,2024-08-25,Bike,Farm,6,3.0
Thomas-Howell,Canned Goods,58.95,Robinmouth,2024-10-19,Van,Food Bank,8,0.8
Shelton-Black,Canned Goods,37.36,Sonyaton,2023-12-18,Truck,Restaurant,6,2.8
Clark and Sons,Vegetables,31.95,West Randyland,2024-02-26,Drone,Grocery Store,2,1.3
Norman-Welch,Vegetables,70.88,Snowbury,2023-12-03,Walk,Supermarket,1,1.9
"Maldonado, Arellano and Lee",Dairy,24.38,Bradfordshire,2024-09-15,Bike,Grocery Store,3,2.8
Garcia-Gray,Grains,58.94,Markfurt,2024-04-05,Walk,Supermarket,6,1.8
Olson-Blankenship,Vegetables,99.56,Williamberg,2023-12-21,Truck,Farm,5,1.3
Parrish Group,Grains,36.42,Newmanside,2023-12-18,Truck,Grocery Store,1,2.5
Hernandez-Webb,Frozen Food,81.92,Williamshaven,2024-05-10,Walk,Food Bank,4,0.8
Mcguire-Choi,Snacks,74.98,Alvaradoport,2024-06-04,Bike,Farm,1,3.0
Obrien Inc,Vegetables,45.88,New Jamesville,2024-03-25,Drone,Restaurant,5,2.4
Alvarado-Franklin,Meat,58.43,Joannfurt,2024-01-03,Bike,Restaurant,6,0.6
Salas-Goodman,Grains,68.54,New Monica,2024-05-04,Walk,Supermarket,6,1.2
"Stafford, Holmes and Ford",Vegetables,54.48,Allentown,2024-03-18,Drone,Grocery Store,4,0.8
Torres PLC,Meat,50.49,New Alexanderchester,2024-05-04,Truck,Food Bank,6,1.6
Henry-Henry,Grains,81.97,South Danielle,2024-10-12,Van,Supermarket,4,1.5
Gray-Tucker,Grains,43.78,South Brian,2024-02-23,Truck,Grocery Store,8,2.0
"Smith, Davis and Mendoza",Vegetables,32.53,North Raymondfurt,2024-08-16,Bike,Restaurant,3,1.8
Gordon-Hopkins,Fruits,32.4,New Kathrynport,2024-04-24,Walk,Supermarket,4,1.7
Becker-Lawson,Frozen Food,55.78,Jordanstad,2024-08-19,Van,Restaurant,7,1.7
"Oliver, Miller and Mcneil",Dairy,95.75,South Matthew,2024-01-04,Drone,Supermarket,3,1.6
Carter Inc,Snacks,91.48,East Christopher,2024-02-20,Bike,Grocery Store,7,2.1
Irwin and Sons,Canned Goods,9.48,North Michellemouth,2024-06-21,Walk,Grocery Store,7,1.1
"Friedman, Booker and Black",Grains,6.27,Alexanderchester,2023-11-20,Truck,Restaurant,5,1.4
Chan Ltd,Snacks,10.11,East Roger,2024-10-03,Walk,Restaurant,7,1.1
Nelson-Davis,Dairy,55.68,Garciastad,2024-09-03,Walk,Restaurant,1,2.2
Odom PLC,Meat,5.45,Hensleyport,2024-09-28,Van,Food Bank,9,2.5
Tucker Ltd,Canned Goods,76.11,Angelatown,2024-01-29,Drone,Grocery Store,6,2.4
"Dudley, Greene and Murray",Vegetables,67.73,South Aprilport,2024-04-30,Bike,Restaurant,8,2.6
Freeman Ltd,Bakery,10.1,Brownborough,2023-12-01,Truck,Restaurant,4,1.8
"Bates, Ortiz and Johnson",Fruits,74.34,Port Marissashire,2024-08-08,Bike,Farm,5,2.8
Vang Group,Vegetables,48.66,Courtneyport,2024-08-08,Walk,Farm,5,1.8
Fernandez-Welch,Dairy,44.76,Andersonburgh,2024-09-03,Drone,Supermarket,9,2.5
Gutierrez-Alvarado,Canned Goods,54.92,East Robertburgh,2024-10-09,Walk,Farm,1,2.9
Wood-Wright,Meat,47.01,Lake Danielle,2024-06-26,Drone,Restaurant,7,1.1
Daniel-Pope,Meat,7.43,East Cynthia,2024-03-09,Truck,Food Bank,8,1.5
Farley-Palmer,Grains,40.83,Stephaniemouth,2024-07-07,Walk,Supermarket,7,1.0
Cook-Hart,Vegetables,66.98,New Elizabeth,2024-03-19,Bike,Restaurant,3,2.3
"Schroeder, Gonzalez and Saunders",Fruits,42.12,West Jeffrey,2024-05-31,Truck,Food Bank,5,0.7
Ramirez-Young,Meat,95.43,Port Christinafurt,2024-08-15,Bike,Grocery Store,8,2.9
Anderson LLC,Bakery,7.85,Williamsbury,2024-01-03,Van,Food Bank,7,1.5
"Abbott, Richardson and White",Grains,23.88,Caldwellmouth,2024-05-27,Van,Farm,2,2.8
Hughes and Sons,Canned Goods,80.31,Sarahmouth,2024-10-16,Truck,Grocery Store,5,2.5
Nunez and Sons,Canned Goods,10.81,Maryborough,2024-07-22,Drone,Supermarket,4,1.9
"Garrett, Hamilton and Price",Dairy,28.83,Samanthaview,2024-04-18,Truck,Restaurant,1,2.2
Ray Ltd,Frozen Food,13.76,Mooreton,2024-11-07,Walk,Supermarket,7,1.0
Ramos-Porter,Bakery,65.72,Monroeton,2024-05-02,Drone,Restaurant,6,1.4
"Freeman, Hendricks and Dunn",Snacks,70.12,Dunnburgh,2024-01-18,Bike,Supermarket,9,2.1
Reese PLC,Vegetables,44.96,Michelechester,2024-06-06,Truck,Restaurant,2,0.7
Nelson-Abbott,Grains,30.67,East James,2024-04-21,Drone,Farm,8,1.0
Griffin PLC,Bakery,90.9,Stevenshire,2024-07-05,Walk,Grocery Store,1,3.0
Gonzales-Johnson,Vegetables,87.11,Ginafurt,2024-11-01,Truck,Food Bank,4,2.0
Walters LLC,Canned Goods,32.43,Jacobfurt,2024-06-01,Truck,Food Bank,2,1.4
Hahn-Page,Meat,57.76,Gutierrezfort,2024-04-13,Van,Food Bank,2,1.1
"Sparks, Cox and Cox",Fruits,53.72,New Alyssamouth,2024-02-07,Drone,Restaurant,3,2.0
"Boyd, Stewart and Martin",Bakery,20.64,Mauricetown,2024-10-11,Van,Supermarket,9,1.6
Holland-Hall,Fruits,11.1,Aprilfurt,2024-07-16,Walk,Supermarket,5,1.9
"Clark, Taylor and Silva",Fruits,86.57,Parkshire,2024-02-03,Van,Farm,6,2.1
"Fritz, Martin and Smith",Vegetables,62.13,South Willie,2024-09-25,Van,Farm,9,0.8
"Wilson, Brown and Harris",Canned Goods,59.33,Williamberg,2024-06-12,Bike,Food Bank,8,0.8
Williamson PLC,Grains,44.7,New Kirstenbury,2024-05-19,Drone,Supermarket,3,2.0
Smith-Clayton,Grains,98.9,Port Laurenton,2023-12-26,Truck,Grocery Store,9,2.1
Shaffer-Massey,Meat,75.71,Lake Johnfurt,2024-07-04,Van,Supermarket,3,2.5
Oneal and Sons,Snacks,6.29,Peggyfurt,2024-03-23,Drone,Restaurant,6,1.1
Moore-Martinez,Canned Goods,82.47,Williamsport,2024-05-22,Van,Farm,9,1.4
"Miller, Martinez and King",Meat,14.48,Port Spencerton,2024-07-25,Walk,Restaurant,3,2.3
Stevens and Sons,Vegetables,34.86,Cooperside,2024-10-02,Truck,Supermarket,5,1.4
Baker-Frost,Grains,74.34,South Jessicaport,2023-11-15,Bike,Farm,3,1.3
Peters Inc,Bakery,64.02,Jamesstad,2024-04-09,Walk,Grocery Store,4,2.2
Wright LLC,Grains,95.64,West Kevin,2024-06-26,Van,Grocery Store,5,0.9
"Sosa, Ball and Massey",Grains,23.16,Melissaborough,2024-11-03,Walk,Grocery Store,8,0.9
Jackson PLC,Grains,82.37,North Markberg,2024-06-12,Truck,Farm,3,1.1
Wilson PLC,Dairy,69.76,East Samuel,2024-05-11,Drone,Farm,6,2.5
Burke-Martin,Canned Goods,44.2,South David,2024-01-03,Van,Restaurant,2,1.1
"Bradshaw, Smith and Diaz",Meat,76.03,New Carol,2024-07-23,Truck,Farm,8,2.2
"Baker, Mata and Irwin",Frozen Food,83.19,East Taylor,2024-01-06,Bike,Restaurant,8,2.7
Rogers and Sons,Bakery,63.35,West Codyport,2024-05-18,Bike,Restaurant,8,1.8
Jones-Lopez,Bakery,99.44,Kristichester,2023-12-16,Drone,Grocery Store,6,3.0
Roberts Inc,Dairy,93.23,Port Carriechester,2023-12-20,Drone,Farm,7,1.7
Love-White,Meat,92.41,Powellstad,2024-10-24,Truck,Grocery Store,2,0.7
"Rivas, Gallagher and Curry",Meat,17.61,North Shelleystad,2023-12-31,Van,Restaurant,9,3.0
Lowery-Mueller,Vegetables,63.19,Santoshaven,2024-10-15,Bike,Food Bank,5,2.1
Warner and Sons,Dairy,62.55,Hannahberg,2023-11-19,Bike,Grocery Store,8,1.8
Hess-Benton,Canned Goods,53.11,Melissahaven,2024-01-24,Drone,Food Bank,8,1.0
Cisneros Inc,Vegetables,56.55,Lake Ashley,2024-07-07,Van,Supermarket,3,2.5
Baker-Reyes,Grains,85.18,North Cynthiamouth,2024-11-14,Walk,Grocery Store,2,0.5
Alvarez-Reese,Grains,39.74,Laurenchester,2024-07-16,Bike,Grocery Store,1,2.2
Montoya Group,Vegetables,51.28,West Edwardchester,2024-02-10,Van,Farm,1,2.7
Cowan-Phillips,Bakery,99.49,North Jennifer,2024-03-03,Walk,Grocery Store,6,1.7
Sanders-Lutz,Snacks,12.46,Lynchfort,2024-09-19,Drone,Grocery Store,5,0.8
"Kelly, Davenport and Williams",Frozen Food,37.74,South Dominique,2024-06-27,Bike,Grocery Store,8,2.1
Jackson-Thompson,Bakery,22.28,North Karenton,2024-05-12,Walk,Farm,9,2.8
"Avila, Page and Ellis",Grains,33.51,North Paulview,2024-04-09,Drone,Restaurant,4,2.7
"Peck, Mcdonald and Taylor",Bakery,31.95,New Amber,2024-10-13,Drone,Supermarket,1,0.9
Brewer-Davis,Grains,18.27,Gibsonville,2024-04-05,Walk,Grocery Store,8,1.2
Ward LLC,Meat,19.96,East Chris,2024-06-29,Bike,Grocery Store,5,1.4
"Sanford, Hart and Huber",Canned Goods,48.83,Lisafurt,2024-03-17,Drone,Supermarket,2,2.3
Cohen-Brock,Frozen Food,5.81,Melissafort,2023-11-17,Bike,Food Bank,9,1.5
Cobb-Jones,Vegetables,64.52,East Mark,2024-06-10,Walk,Supermarket,4,1.3
Fields PLC,Fruits,11.24,Murrayberg,2023-12-23,Walk,Restaurant,2,1.8
Peterson and Sons,Snacks,39.08,Emilyland,2024-04-24,Van,Food Bank,9,1.5
"Tran, Shannon and Hopkins",Fruits,81.07,New Deborahbury,2023-11-28,Walk,Farm,5,2.6
Cox-Mueller,Vegetables,28.13,West Tina,2024-03-09,Van,Grocery Store,2,2.5
Wilson-Campbell,Fruits,39.22,South Laura,2024-01-06,Truck,Restaurant,1,2.5
Hall-Burns,Canned Goods,94.72,Lake Cynthia,2024-09-09,Walk,Food Bank,2,0.9
"White, Miller and Scott",Snacks,92.26,Westshire,2024-08-26,Van,Food Bank,6,1.5
Hernandez PLC,Vegetables,31.3,Hughesborough,2024-10-25,Walk,Farm,9,2.9
"Kelly, Mckinney and Marshall",Snacks,71.32,Wilkersonmouth,2024-04-17,Walk,Restaurant,3,2.3
Rhodes and Sons,Meat,78.28,Port Jose,2024-06-22,Truck,Restaurant,2,1.2
Lucas and Sons,Canned Goods,18.77,Hillfort,2024-07-10,Bike,Grocery Store,3,0.7
Mcfarland PLC,Bakery,43.58,Lake Kelsey,2024-04-14,Drone,Grocery Store,8,1.2
Herrera-Smith,Fruits,63.1,Adamsbury,2024-09-06,Truck,Food Bank,2,0.8
Atkinson-Snow,Canned Goods,27.68,Port Joetown,2024-09-08,Drone,Restaurant,6,1.9
Russo Group,Dairy,65.55,East Catherine,2023-11-28,Walk,Restaurant,2,1.6
Jones-Montoya,Bakery,99.22,Lake Ryanfurt,2024-02-02,Bike,Grocery Store,7,1.2
"Brock, Conway and Rice",Grains,49.72,Jeffside,2024-06-10,Van,Supermarket,3,2.6
"Weaver, Lynch and Stewart",Dairy,90.2,East Meredith,2024-06-24,Truck,Food Bank,6,1.9
Clarke Group,Fruits,17.42,Padillaport,2024-08-05,Van,Grocery Store,4,2.9
"Velazquez, Martinez and Stephenson",Grains,62.05,South Elizabethtown,2024-03-03,Truck,Food Bank,3,1.3
"Coleman, Baker and Peck",Bakery,74.29,Johnchester,2024-07-25,Truck,Farm,4,0.8
"Brown, Reid and Pena",Fruits,45.25,East David,2023-12-29,Van,Supermarket,6,1.1
Ford PLC,Fruits,62.87,East Teresa,2024-07-14,Van,Supermarket,9,1.2
Stafford-Hansen,Canned Goods,25.47,New Juanland,2023-11-27,Walk,Supermarket,3,0.8
"Spencer, Love and Clark",Dairy,85.92,South Sandraville,2024-10-16,Bike,Grocery Store,2,1.1
Cameron LLC,Bakery,69.62,South Anthonyport,2024-01-29,Walk,Farm,5,2.9
Johnson PLC,Snacks,49.91,North Douglas,2024-08-30,Truck,Supermarket,7,1.9
Baker-Ross,Bakery,28.65,New Raymondburgh,2024-03-25,Drone,Restaurant,9,1.9
White-Gregory,Bakery,79.62,East Gwendolynside,2024-02-23,Bike,Grocery Store,9,2.3
Dorsey Inc,Vegetables,73.36,Port Stacy,2024-03-22,Van,Supermarket,8,1.9
Fleming-Bryant,Bakery,5.99,Krauseview,2024-10-06,Drone,Supermarket,3,1.4
"Cole, Smith and Harris",Vegetables,67.58,Donnaside,2024-02-12,Walk,Food Bank,2,2.5
"Leonard, Warren and Miller",Bakery,62.68,Stephaniechester,2024-09-01,Van,Restaurant,9,1.2
Mccoy-Bauer,Dairy,93.97,East Markside,2024-06-05,Drone,Grocery Store,1,1.9
Palmer LLC,Frozen Food,15.32,Woodburgh,2024-02-12,Walk,Grocery Store,3,3.0
"Trujillo, Gallegos and Jackson",Grains,61.28,Lake Melissa,2024-04-06,Truck,Restaurant,4,1.6
Gilmore-Joseph,Bakery,55.01,New Blake,2024-04-03,Drone,Supermarket,2,0.6
Butler Group,Frozen Food,75.64,Robertfort,2024-05-12,Bike,Restaurant,7,1.2
"Ramos, Black and Griffin",Canned Goods,72.41,West Brian,2024-01-07,Walk,Supermarket,2,1.1
Gutierrez-Dean,Snacks,77.13,West Jennifertown,2024-04-10,Van,Grocery Store,4,1.9
Jones-Davis,Frozen Food,76.9,Kellyborough,2024-08-09,Drone,Grocery Store,9,0.7
"Wagner, Hooper and Gonzalez",Vegetables,57.22,Davisview,2024-07-30,Walk,Food Bank,5,2.0
Watson-Meyers,Frozen Food,59.84,Meganland,2024-02-21,Drone,Supermarket,9,1.4
"Matthews, Barnett and Brewer",Bakery,12.61,North Gilbert,2024-06-05,Bike,Food Bank,2,1.0
Black PLC,Fruits,32.93,Wagnerstad,2024-03-30,Drone,Supermarket,4,2.0
"Chen, Wright and Nixon",Grains,48.2,Tylerberg,2024-05-15,Truck,Restaurant,8,2.2
Boyd and Sons,Frozen Food,47.33,Lake Emily,2024-10-07,Drone,Food Bank,9,0.6
"Spencer, Burns and Williams",Grains,55.71,Ginaland,2024-03-26,Van,Food Bank,1,2.5
"Morris, Wood and Armstrong",Canned Goods,30.41,Millerport,2023-12-18,Van,Supermarket,4,2.4
Johnson-Kelly,Frozen Food,13.25,Hernandezton,2024-05-31,Bike,Supermarket,6,1.3
Franklin PLC,Fruits,46.63,East Mariabury,2024-04-29,Bike,Supermarket,1,1.9
"Lewis, Bryan and Cortez",Fruits,5.34,Johnmouth,2024-06-21,Van,Food Bank,9,2.8
"Wright, Boyle and Palmer",Frozen Food,23.28,Brownberg,2023-12-07,Drone,Grocery Store,8,1.2
"Williams, Hoffman and Snyder",Snacks,85.05,Nicolefurt,2024-10-23,Bike,Supermarket,4,2.9
Mendez-Flores,Meat,6.5,Hodgeville,2024-10-26,Truck,Farm,5,1.8
Harrison and Sons,Vegetables,67.47,Brownchester,2024-10-10,Drone,Restaurant,8,0.6
Zavala PLC,Canned Goods,50.55,East Wendy,2023-11-28,Drone,Food Bank,2,2.8
Lang PLC,Fruits,57.14,Desireeville,2023-11-17,Truck,Grocery Store,4,2.2
Jones Inc,Vegetables,32.55,East Amyport,2024-04-28,Van,Supermarket,3,0.9
Sherman-Salas,Canned Goods,53.29,Port Sherry,2024-06-21,Van,Food Bank,6,3.0
"Ramirez, Johnson and Coleman",Snacks,73.5,Payneside,2024-05-04,Truck,Supermarket,1,1.6
